Date/Time,Unit,Value,
9/14/2020, 2:45:01 PM,F,122.2
9/14/2020, 3:45:01 PM,F,120.404
9/14/2020, 4:45:01 PM,F,103.334
9/14/2020, 5:45:01 PM,F,89.846
9/14/2020, 6:45:01 PM,F,79.05
9/14/2020, 7:45:01 PM,F,69.147
9/14/2020, 8:45:01 PM,F,61.943
9/14/2020, 9:45:01 PM,F,59.24
9/14/2020, 10:45:01 PM,F,57.438
9/14/2020, 11:45:01 PM,F,59.24
9/15/2020, 12:45:01 AM,F,56.538
9/15/2020, 1:45:01 AM,F,57.438
9/15/2020, 2:45:01 AM,F,55.636
9/15/2020, 3:45:01 AM,F,53.834
9/15/2020, 4:45:01 AM,F,56.538
9/15/2020, 5:45:01 AM,F,54.735
9/15/2020, 6:45:01 AM,F,53.834
9/15/2020, 7:45:01 AM,F,64.645
9/15/2020, 8:45:01 AM,F,82.649
9/15/2020, 9:45:01 AM,F,104.232
9/15/2020, 10:45:01 AM,F,119.506
9/15/2020, 11:45:01 AM,F,131.178
9/15/2020, 12:45:01 PM,F,131.178
9/15/2020, 1:45:01 PM,F,126.689
9/15/2020, 2:45:01 PM,F,123.098
9/15/2020, 3:45:01 PM,F,116.811
9/15/2020, 4:45:01 PM,F,102.435
9/15/2020, 5:45:01 PM,F,88.047
9/15/2020, 6:45:01 PM,F,78.15
9/15/2020, 7:45:01 PM,F,67.347
9/15/2020, 8:45:01 PM,F,61.943
9/15/2020, 9:45:01 PM,F,58.339
9/15/2020, 10:45:01 PM,F,55.636
9/15/2020, 11:45:01 PM,F,54.735
9/16/2020, 12:45:01 AM,F,55.636
9/16/2020, 1:45:01 AM,F,53.834
9/16/2020, 2:45:01 AM,F,52.032
9/16/2020, 3:45:01 AM,F,52.032
9/16/2020, 4:45:01 AM,F,51.131
9/16/2020, 5:45:01 AM,F,48.427
9/16/2020, 6:45:01 AM,F,52.933
9/16/2020, 7:45:01 AM,F,63.744
9/16/2020, 8:45:01 AM,F,88.047
9/16/2020, 9:45:01 AM,F,112.32
9/16/2020, 10:45:01 AM,F,127.587
9/16/2020, 11:45:01 AM,F,136.562
9/16/2020, 12:45:01 PM,F,136.562
9/16/2020, 1:45:01 PM,F,130.28
9/16/2020, 2:45:01 PM,F,129.382
9/16/2020, 3:45:01 PM,F,122.2
9/16/2020, 4:45:01 PM,F,103.334
9/16/2020, 5:45:01 PM,F,88.947
9/16/2020, 6:45:01 PM,F,77.25
9/16/2020, 7:45:01 PM,F,68.247
9/16/2020, 8:45:01 PM,F,60.141
9/16/2020, 9:45:01 PM,F,57.438
9/16/2020, 10:45:01 PM,F,53.834
9/16/2020, 11:45:01 PM,F,52.032
9/17/2020, 12:45:01 AM,F,51.131
9/17/2020, 1:45:01 AM,F,51.131
9/17/2020, 2:45:01 AM,F,50.229
9/17/2020, 3:45:01 AM,F,52.032
9/17/2020, 4:45:01 AM,F,54.735
9/17/2020, 5:45:01 AM,F,53.834
9/17/2020, 6:45:01 AM,F,51.131
9/17/2020, 7:45:01 AM,F,58.339
9/17/2020, 8:45:01 AM,F,91.645
9/17/2020, 9:45:01 AM,F,114.117
9/17/2020, 10:45:01 AM,F,112.32
9/17/2020, 11:45:01 AM,F,132.075
9/17/2020, 12:45:01 PM,F,139.254
9/17/2020, 1:45:01 PM,F,132.973
9/17/2020, 2:45:01 PM,F,126.689
9/17/2020, 3:45:01 PM,F,121.302
9/17/2020, 4:45:01 PM,F,107.827
9/17/2020, 5:45:01 PM,F,94.343
9/17/2020, 6:45:01 PM,F,77.25
9/17/2020, 7:45:01 PM,F,70.048
9/17/2020, 8:45:01 PM,F,64.645
9/17/2020, 9:45:01 PM,F,61.943
9/17/2020, 10:45:01 PM,F,60.141
9/17/2020, 11:45:01 PM,F,59.24
9/18/2020, 12:45:01 AM,F,61.042
9/18/2020, 1:45:01 AM,F,61.042
9/18/2020, 2:45:01 AM,F,55.636
9/18/2020, 3:45:01 AM,F,57.438
9/18/2020, 4:45:01 AM,F,57.438
9/18/2020, 5:45:01 AM,F,55.636
9/18/2020, 6:45:01 AM,F,56.538
9/18/2020, 7:45:01 AM,F,75.449
9/18/2020, 8:45:01 AM,F,81.749
9/18/2020, 9:45:01 AM,F,120.404
9/18/2020, 10:45:01 AM,F,116.811
9/18/2020, 11:45:01 AM,F,128.485
9/18/2020, 12:45:01 PM,F,136.562
9/18/2020, 1:45:01 PM,F,132.075
9/18/2020, 2:45:01 PM,F,129.382
9/18/2020, 3:45:01 PM,F,123.996
9/18/2020, 4:45:01 PM,F,104.232
9/18/2020, 5:45:01 PM,F,92.544
9/18/2020, 6:45:01 PM,F,81.749
9/18/2020, 7:45:01 PM,F,75.449
9/18/2020, 8:45:01 PM,F,68.247
9/18/2020, 9:45:01 PM,F,65.545
9/18/2020, 10:45:01 PM,F,62.844
9/18/2020, 11:45:01 PM,F,61.042
9/19/2020, 12:45:01 AM,F,60.141
9/19/2020, 1:45:01 AM,F,59.24
9/19/2020, 2:45:01 AM,F,57.438
9/19/2020, 3:45:01 AM,F,57.438
9/19/2020, 4:45:01 AM,F,56.538
9/19/2020, 5:45:01 AM,F,58.339
9/19/2020, 6:45:01 AM,F,58.339
9/19/2020, 7:45:01 AM,F,78.15
9/19/2020, 8:45:01 AM,F,98.839
9/19/2020, 9:45:01 AM,F,120.404
9/19/2020, 10:45:01 AM,F,135.665
9/19/2020, 11:45:01 AM,F,136.562
9/19/2020, 12:45:01 PM,F,136.562
9/19/2020, 1:45:01 PM,F,138.357
9/19/2020, 2:45:01 PM,F,131.178
9/19/2020, 3:45:01 PM,F,125.792
9/19/2020, 4:45:01 PM,F,107.827
9/19/2020, 5:45:01 PM,F,85.348
9/19/2020, 6:45:01 PM,F,76.35
9/19/2020, 7:45:01 PM,F,67.347
9/19/2020, 8:45:01 PM,F,60.141
9/19/2020, 9:45:01 PM,F,57.438
9/19/2020, 10:45:01 PM,F,53.834
9/19/2020, 11:45:01 PM,F,52.933
9/20/2020, 12:45:01 AM,F,52.032
9/20/2020, 1:45:01 AM,F,51.131
9/20/2020, 2:45:01 AM,F,49.328
9/20/2020, 3:45:01 AM,F,51.131
9/20/2020, 4:45:01 AM,F,47.525
9/20/2020, 5:45:01 AM,F,45.722
9/20/2020, 6:45:01 AM,F,46.624
9/20/2020, 7:45:01 AM,F,71.849
9/20/2020, 8:45:01 AM,F,95.242
9/20/2020, 9:45:01 AM,F,118.608
9/20/2020, 10:45:01 AM,F,133.87
9/20/2020, 11:45:01 AM,F,139.254
9/20/2020, 12:45:01 PM,F,141.048
9/20/2020, 1:45:01 PM,F,140.151
9/20/2020, 2:45:01 PM,F,131.178
9/20/2020, 3:45:01 PM,F,125.792
9/20/2020, 4:45:01 PM,F,108.726
9/20/2020, 5:45:01 PM,F,85.348
9/20/2020, 6:45:01 PM,F,74.549
9/20/2020, 7:45:01 PM,F,68.247
9/20/2020, 8:45:01 PM,F,61.943
9/20/2020, 9:45:01 PM,F,56.538
9/20/2020, 10:45:01 PM,F,53.834
9/20/2020, 11:45:01 PM,F,52.933
9/21/2020, 12:45:01 AM,F,50.229
9/21/2020, 1:45:01 AM,F,49.328
9/21/2020, 2:45:01 AM,F,47.525
9/21/2020, 3:45:01 AM,F,46.624
9/21/2020, 4:45:01 AM,F,47.525
9/21/2020, 5:45:01 AM,F,46.624
9/21/2020, 6:45:01 AM,F,46.624
9/21/2020, 7:45:01 AM,F,69.147
9/21/2020, 8:45:01 AM,F,95.242
9/21/2020, 9:45:01 AM,F,119.506
9/21/2020, 10:45:01 AM,F,132.075
9/21/2020, 11:45:01 AM,F,127.587
9/21/2020, 12:45:01 PM,F,132.973
9/21/2020, 1:45:01 PM,F,132.075
9/21/2020, 2:45:01 PM,F,126.689
9/21/2020, 3:45:01 PM,F,123.098
9/21/2020, 4:45:01 PM,F,107.827
9/21/2020, 5:45:01 PM,F,85.348
9/21/2020, 6:45:01 PM,F,75.449
9/21/2020, 7:45:01 PM,F,67.347
9/21/2020, 8:45:01 PM,F,63.744
9/21/2020, 9:45:01 PM,F,60.141
9/21/2020, 10:45:01 PM,F,57.438
9/21/2020, 11:45:01 PM,F,54.735
9/22/2020, 12:45:01 AM,F,54.735
9/22/2020, 1:45:01 AM,F,52.032
9/22/2020, 2:45:01 AM,F,51.131
9/22/2020, 3:45:01 AM,F,49.328
9/22/2020, 4:45:01 AM,F,47.525
9/22/2020, 5:45:01 AM,F,47.525
9/22/2020, 6:45:01 AM,F,46.624
9/22/2020, 7:45:01 AM,F,68.247
9/22/2020, 8:45:01 AM,F,92.544
9/22/2020, 9:45:01 AM,F,119.506
9/22/2020, 10:45:01 AM,F,130.28
9/22/2020, 11:45:01 AM,F,135.665
9/22/2020, 12:45:01 PM,F,126.689
9/22/2020, 1:45:01 PM,F,130.28
9/22/2020, 2:45:01 PM,F,123.996
9/22/2020, 3:45:01 PM,F,119.506
9/22/2020, 4:45:01 PM,F,107.827
9/22/2020, 5:45:01 PM,F,84.449
9/22/2020, 6:45:01 PM,F,74.549
9/22/2020, 7:45:01 PM,F,68.247
9/22/2020, 8:45:01 PM,F,62.844
9/22/2020, 9:45:01 PM,F,59.24
9/22/2020, 10:45:01 PM,F,55.636
9/22/2020, 11:45:01 PM,F,55.636
9/23/2020, 12:45:01 AM,F,53.834
9/23/2020, 1:45:01 AM,F,52.933
9/23/2020, 2:45:01 AM,F,53.834
9/23/2020, 3:45:01 AM,F,51.131
9/23/2020, 4:45:01 AM,F,50.229
9/23/2020, 5:45:01 AM,F,50.229
9/23/2020, 6:45:01 AM,F,48.427
9/23/2020, 7:45:01 AM,F,68.247
9/23/2020, 8:45:01 AM,F,89.846
9/23/2020, 9:45:01 AM,F,120.404
9/23/2020, 10:45:01 AM,F,128.485
