"plot_number","Plant","july_height","date_measured","dead.x","date_measured_2","dead.y","fall_height"
1212,"CEOL",31.4,2020-06-25,0,2020-12-03,1,30.8
1232,"HEWH",22,2020-06-26,0,2020-11-19,0,16.2
1241,"HEWH",21.2,2020-06-26,0,2020-11-19,0,24.8
1242,"SANI",59.2,2020-06-26,0,2020-11-19,1,85.5
1247,"ADFA",52,2020-06-25,0,2020-11-17,1,48
1252,"HEWH",22.5,2020-06-25,0,2020-11-17,0,28.4
1255,"RHOV",22,2020-06-25,0,2020-11-17,1,18.5
1256,"HEWH",20.9,2020-06-25,0,2020-11-17,0,26.1
1257,"RHOV",14,2020-06-25,0,2020-11-17,0,74.6
1279,"HEWH",19.5,2020-06-25,0,2020-11-17,1,16.5
1280,"SANI",23.8,2020-06-25,0,2020-11-17,0,23.8
1285,"CEOL",42.1,2020-06-25,0,2020-11-05,1,39.8
1286,"HEWH",28.8,2020-06-25,0,2020-12-03,0,31.1
1289,"ADFA",63.9,2020-06-25,0,2020-12-03,1,69.4
1291,"SAME",33,2020-06-25,0,2020-11-17,0,29.7
1293,"HEWH",11,2020-06-25,0,2020-11-17,0,10.3
1297,"HEWH",29.5,2020-06-25,0,2020-11-17,0,32.5
1298,"ADFA",41.5,2020-06-25,0,2020-11-17,1,40.1
1301,"ADFA",26.1,2020-06-26,0,2020-11-19,0,24
1304,"ENCA",54.6,2020-06-26,0,2020-11-19,0,56
1307,"SAAP",27.5,2020-06-26,0,2020-11-19,0,22
1308,"ENCA",70.8,2020-06-26,0,2020-11-19,0,93
1315,"ENCA",59.3,2020-06-26,0,2020-11-19,1,61.3
1317,"HEWH",24.1,2020-06-26,0,2020-11-19,0,19
1324,"SAME",8.1,2020-06-26,0,2020-11-19,0,3
1325,"SAME",33.8,2020-06-26,0,2020-11-19,1,31
1330,"ENCA",41,2020-06-26,0,2020-11-19,0,59
1333,"HEWH",28.2,2020-06-26,0,2020-11-19,0,27.1
1334,"HEWH",24.1,2020-06-26,0,2020-11-19,0,36.2
1346,"HEWH",18.5,2020-06-26,0,2020-11-19,0,23.2
1347,"ADFA",60.1,2020-06-26,0,2020-11-19,0,66.2
1349,"SAME",36.8,2020-06-26,0,2020-11-19,1,46.2
1354,"HEWH",27,2020-06-26,0,2020-11-19,0,27.2
1383,"RHOV",22,2020-06-25,0,2020-11-17,1,13.1
1394,"ADFA",54.5,2020-06-26,0,2020-11-19,0,49.5
1398,"HEWH",24.2,2020-06-26,0,2020-11-19,0,16.2
1401,"CEOL",28.2,2020-06-25,0,2020-11-17,1,30.2
1402,"RHOV",12.4,2020-06-25,0,2020-11-17,1,9.9
1417,"HEAR",13.5,2020-06-05,0,2020-10-27,0,9.6
1421,"HEAR",16.4,2020-06-05,0,2020-12-03,1,11.6
1423,"HEAR",13.7,2020-06-05,0,2020-10-27,0,9
1441,"HEAR",10.4,2020-06-25,0,2020-12-03,1,6.2
1459,"HEAR",11.7,2020-06-24,0,2020-11-05,1,11.1
1461,"HEAR",3.8,2020-06-25,0,2020-10-27,1,3.4
1467,"ADFA",30.3,2020-06-24,0,2020-10-27,0,47.8
1472,"ADFA",43.1,2020-06-05,0,2020-10-27,0,24.1
1476,"ADFA",65.6,2020-06-05,0,2020-10-27,0,65.7
1477,"ADFA",38.6,2020-06-05,0,2020-10-27,0,36.5
1501,"SAME",11,2020-06-05,0,2020-10-27,0,5
1510,"HEAR",19.2,2020-06-24,0,2020-11-17,1,7
1517,"SAME",27.5,2020-06-25,0,2020-11-19,0,27.3
1542,"SAME",42.2,2020-06-24,0,2020-11-05,0,37.6
1543,"SAME",47.1,2020-06-24,0,2020-11-05,1,35.1
1545,"SAME",3.2,2020-06-24,0,2020-11-05,0,15.2
1557,"SANI",23.9,2020-06-26,0,2020-11-19,0,36
1575,"SAME",40.1,2020-06-05,0,2020-10-27,0,35.8
1582,"SAME",46,2020-06-25,0,2020-11-05,1,33.7
1596,"SAME",15.2,2020-06-24,0,2020-11-17,0,14.5
1599,"SANI",8.4,2020-06-05,0,2020-10-27,1,19.2
1613,"SANI",15.8,2020-06-24,0,2020-11-17,0,35.6
1620,"ADFA",40.8,2020-06-25,0,2020-12-03,1,36.6
1621,"ADFA",79.5,2020-06-26,0,2020-11-19,0,55
1630,"ADFA",59.1,2020-06-24,0,2020-12-03,1,33.1
