ID,Plant,Height,Width 1,Width 2,Stem Diameter,Date Measured,Notes
297,MALA (White + Yellow),17.6,14.9,9.7,0.5,24-Jun,
298,SAME (Orange + Pink),26.6,13.8,11.8,0.52,24-Jun,
299,RHOV (White + Pink),19.8,11.5,7.6,0.49,24-Jun,
300,SAAP (White + Green),,,,,24-Jun,np
301,HEWH (White),29.4,42.3,28.2,,24-Jun,g.a.
302,SANI (Orange + Yellow),,,,,24-Jun,np
303,ENCA (Pink),33.8,25.9,14.2,0.53,24-Jun,
304,ENCA (Pink),,,,,24-Jun,np
305,SAAP (White + Green),,,,,24-Jun,np
306,HEWH (White),,,,,24-Jun,np
307,ENCA (Pink),45.7,17,8.6,0.45,24-Jun,
308,SAAP (White + Green),,,,,24-Jun,"np, buried"
309,CEOL (Orange),39.2,11.8,11.4,0.4,24-Jun,
310,CEOL (Orange),,,,,24-Jun,"np, g"
311,ENCA (Pink),,,,,24-Jun,"np, g"
312,CEOL (Orange),,,,,24-Jun,np
313,CEOL (Orange),25.6,10.8,5.9,0.32,24-Jun,
314,SANI (Orange + Yellow),15.1,12.4,8.9,0.51,24-Jun,
315,RHOV (White + Pink),,,,,24-Jun,np
316,HEWH (White),29.7,33.7,19.2,,24-Jun,
317,SANI (Orange + Yellow),,,,,24-Jun,"dead, g.a."
318,SAME (Orange + Pink),,,,,24-Jun,"np, g"
319,ENCA (Pink),5.6,3.7,2.6,0.47,24-Jun,
320,ADFA (Orange + Green),60,45.8,31.8,0.95,24-Jun,
321,HEWH (White),,,,,24-Jun,"np, g"
322,ADFA (Orange + Green),,,,,24-Jun,np
323,HEWH (White),35,22.8,21.7,,24-Jun,
324,CEOL (Orange),,,,,24-Jun,np
325,HEWH (White),,,,,24-Jun,dead
326,ADFA (Orange + Green),63.6,63.4,35.5,0.85,24-Jun,
327,ENCA (Pink),27.6,32.9,12.2,0.6,24-Jun,
328,RHOV (White + Pink),,,,,24-Jun,np
329,ENCA (Pink),,,,,24-Jun,np
330,ENCA (Pink),,,,,24-Jun,"np, g"
331,CEOL (Orange),,,,,24-Jun,"np, g"
332,RHOV (White + Pink),,,,,24-Jun,"np, g"
333,CEOL (Orange),,,,,24-Jun,np
334,CEOL (Orange),64.1,21.6,18.5,0.63,24-Jun,
335,SAAP (White + Green),,,,,24-Jun,np
336,ENCA (Pink),,,,,24-Jun,np
337,ENCA (Pink),,,,,24-Jun,"np, g.a."
338,CEOL (Orange),,,,,24-Jun,"np, g"
339,ENCA (Pink),35.8,16.5,7.6,0.38,24-Jun,
340,ADFA (Orange + Green),,,,,24-Jun,np
341,SAAP (White + Green),,,,,25-Jun,dead
342,ENCA (Pink),,,,,25-Jun,"np, g"
343,SAAP (White + Green),16.2,33.1,13.1,0.6,25-Jun,
344,CEOL (Orange),,,,,24-Jun,"np, buried"
