ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes,,
297,MALA (White + Yellow),,,,5/8,y,,,,,,,,,
298,SAME (Orange + Pink),,,,5/8,y,,,,,,,,,
299,RHOV (White + Pink),,,,5/8,y,,,,,,,,,
300,SAAP (White + Green),,,,5/8,y,,,,,,,,,
301,HEWH (White),,,,5/7,y,,,,,,,,,
302,SANI (Orange + Yellow),,,,5/7,np,,,,,,,,,
303,ENCA (Pink),,,,5/8,y,,,,,,,,,
304,ENCA (Pink),,,,5/7,np,,,,,,,,,
305,SAAP (White + Green),,,,5/7,np,,,,,,,,,
306,HEWH (White),,,,5/8,np,,,,,,,,,
307,ENCA (Pink),,,,5/7,y,,,,,,,,,
308,SAAP (White + Green),,,,5/7,np,buried,,,,,,,,
309,CEOL (Orange),,,,5/7,y,,,,,,,,,
310,CEOL (Orange),,,,5/7,y,,,,,,,,,
311,ENCA (Pink),,,,5/7,np,gopher,,,,,,,,
312,CEOL (Orange),,,,5/7,np,,,,,,,,,
313,CEOL (Orange),,,,5/7,y,,,,,,,,,
314,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
315,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
316,HEWH (White),,,,5/7,y,,,,,,,,,
317,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
318,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
319,ENCA (Pink),,,,5/7,y,,,,,,,,,
320,ADFA (Orange + Green),,,,5/7,y,,,,,,,,,
321,HEWH (White),,,,5/7,y,,,,,,,,,
322,ADFA (Orange + Green),,,,5/7,np,,,,,,,,,
323,HEWH (White),,,,5/7,y,,,,,,,,,
324,CEOL (Orange),,,,5/7,np,,,,,,,,,
325,HEWH (White),,,,5/7,n,watered 2x (1 says dead 1 says alive),,,,,,,,
326,ADFA (Orange + Green),,,,5/7,y,watered 2x,,,,,,,,
327,ENCA (Pink),,,,5/7,y,,,,,,,,,
328,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
329,ENCA (Pink),,,,5/7,np,,,,,,,,,
330,ENCA (Pink),,,,5/7,y,,,,,,,,,
331,CEOL (Orange),,,np,5/7,np,gopher,,,,,,,,
332,RHOV (White + Pink),2/11,Y,,5/7,y,,,,,,,,,
333,CEOL (Orange),,,np,5/7,y,,,,,,,,,
334,CEOL (Orange),,,np,5/8,y,,,,,,,,,
335,SAAP (White + Green),,,,5/7,np,,,,,,,,,
336,ENCA (Pink),,,,5/7,y,,,,,,,,,
337,ENCA (Pink),,,np,5/7,y,,,,,,,,,
338,CEOL (Orange),,,np,5/7,y,,,,,,,,,
339,ENCA (Pink),2/11,Y,,5/7,y,,,,,,,,,
340,ADFA (Orange + Green),,,,5/7,np,,,,,,,,,
341,SAAP (White + Green),,,,5/7,y,,,,,,,,,
342,ENCA (Pink),2/11,Y,wilty,5/7,y,,,,,,,,,
343,SAAP (White + Green),,,,5/7,y,,,,,,,,,
344,CEOL (Orange),,,np,5/8,y,,,,,,,,,
345,ADFA (Orange + Green),2/11,Y,,5/8,y,,,,,,,,,
346,SAAP (White + Green),,,,5/8,np,,,,,,,,,
347,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
348,ADFA (Orange + Green),2/11,Y,,5/7,n,,,,,,,,,
349,SANI (Orange + Yellow),,,,5/7,np,,,,,,,,,
350,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
351,ADFA (Orange + Green),2/11,Y,,5/7,y,,,,,,,,,
352,ENCA (Pink),2/11,N,,5/7,np,,,,,,,,,
