OID,Plot_Number, Date, Time, Moisture %
603,1297,4/23/2020,14:08:45,19.1
604,1309,4/24/2020,13:08:44,22.3
605,1309,4/24/2020,13:09:09,32.7
606,1309,4/24/2020,13:09:47,23.9
607,1309,4/24/2020,13:10:25,25.5
608,1313,4/24/2020,13:06:09,31.7
609,1313,4/24/2020,13:06:38,23
610,1313,4/24/2020,13:07:13,30
611,1327,4/24/2020,11:46:03,27
612,1327,4/24/2020,11:47:01,33.6
613,1327,4/24/2020,11:48:11,34.7
614,1346,4/24/2020,11:50:18,34.2
615,1346,4/24/2020,11:50:51,28.7
616,1346,4/24/2020,11:51:24,32.8
617,1349,4/24/2020,11:38:49,29.3
618,1349,4/24/2020,11:39:44,24.8
619,1349,4/24/2020,11:40:09,20.5
620,1353,4/24/2020,13:15:19,16.1
621,1353,4/24/2020,13:15:38,29.7
622,1353,4/24/2020,13:16:10,22.7
623,1353,4/24/2020,13:16:37,21.5
624,1356,4/24/2020,11:33:46,26.2
625,1356,4/24/2020,11:34:44,25
626,1356,4/24/2020,11:35:13,22.2
627,1367,4/24/2020,13:27:51,23.6
628,1367,4/24/2020,13:28:44,17.9
629,1367,4/24/2020,13:29:06,26.9
630,1385,4/24/2020,10:48:36,14.3
631,1385,4/24/2020,10:49:09,24.1
632,1385,4/24/2020,10:49:38,20.1
633,1388,4/24/2020,10:52:03,39
634,1388,4/24/2020,10:53:04,35.4
635,1388,4/24/2020,10:53:04,31.4
636,1390,4/23/2020,14:37:19,21.4
637,1390,4/23/2020,14:37:56,21.6
638,1390,4/23/2020,14:38:28,22.8
639,1413,4/24/2020,13:31:03,22.5
640,1413,4/24/2020,13:31:25,21.8
641,1413,4/24/2020,13:31:53,25.6
642,1415,4/24/2020,13:53:45,22.7
643,1415,4/24/2020,13:56:43,14.9
644,1415,4/24/2020,13:57:04,19.2
645,1546,4/23/2020,12:31:19,26.6
646,1546,4/23/2020,12:31:51,25.3
647,1546,4/23/2020,12:32:16,20.6
648,1647,4/24/2020,12:00:16,33
649,1647,4/24/2020,12:00:41,32.9
650,1647,4/24/2020,12:01:17,38.3
